Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
169,KANSAS ST,2014,2,@,IOWA STATE,32,28,4,4,2,2,2,2,0,0,0,0,0,0,0,1,0,0
170,KENT STATE,2014,2,,S ALABAMA,13,23,-10,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
171,KENTUCKY,2014,2,,OHIO,20,3,17,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0
172,LA LAFAYET,2014,2,,LA TECH,20,48,-28,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
173,LA MONROE,2014,2,,IDAHO,38,31,7,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
174,LSU,2014,2,,SM HOUSTON,56,0,56,8,7,6,0,0,1,0,0,0,0,0,0,0,0,0
175,LA TECH,2014,2,@,LA LAFAYET,48,20,28,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0
176,LOUISVILLE,2014,2,,MURRAY ST,66,21,45,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0
177,MARSHALL,2014,2,,RHODE ISLD,48,7,41,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0
178,MARYLAND,2014,2,@,0,24,17,7,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0
179,UMASS,2014,2,N,COLORADO,38,41,-3,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0
180,MEMPHIS,2014,2,@,UCLA,35,42,-7,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0
181,MIAMI FL,2014,2,,FL A&M,41,7,34,5,5,5,4,2,0,0,0,0,0,0,0,0,0,0
182,MIAMI OH,2014,2,,E KENTUCKY,10,17,-7,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0
183,MICHIGAN,2014,2,@,NOTRE DAME,0,31,-31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
184,MICH STATE,2014,2,@,OREGON,27,46,-19,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
185,MIDDLE TN,2014,2,@,MINNESOTA,24,35,-11,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0
186,MINNESOTA,2014,2,,MIDDLE TN,35,24,11,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0
187,OLE MISS,2014,2,N,VANDERBILT,41,3,38,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0
188,MISS STATE,2014,2,,UAB,47,34,13,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0
189,MISSOURI,2014,2,@,TOLEDO,49,24,25,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
190,NAVY,2014,2,@,TEMPLE,31,24,7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
191,NEBRASKA,2014,2,,MCNEESE,31,24,7,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
192,UNLV,2014,2,,N COLORADO,13,12,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0
193,NEW MEXICO,2014,2,,ARIZONA ST,23,58,-35,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
194,NEW MEX ST,2014,2,@,GA STATE,34,31,3,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0
195,N CAROLINA ,2014,2,,S DIEGO ST,31,27,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
196,NC STATE,2014,2,,DOMINION,46,34,12,6,5,5,2,1,1,0,0,0,0,0,0,0,0,0
197,N TEXAS,2014,2,,SMU,43,6,37,3,4,4,5,5,0,0,0,0,0,0,0,0,0,0
198,N ILLINOIS,2014,2,@,NWESTERN,23,15,8,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0
199,NWESTERN,2014,2,,N ILLINOIS,15,23,-8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,NOTRE DAME,2014,2,,MICHIGAN,31,0,31,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
201,OHIO,2014,2,@,KENTUCKY,3,20,-17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
202,OHIO STATE,2014,2,,VA TECH,21,35,-14,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
203,OKLAHOMA,2014,2,@,TULSA,52,7,45,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0
204,OKLA STATE,2014,2,,MO STATE,40,23,17,4,4,4,6,4,0,0,0,0,0,0,0,0,0,0
205,DOMINION,2014,2,@,NC STATE,34,46,-12,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0
206,OREGON,2014,2,,MICH STATE,46,27,19,6,5,5,1,1,1,0,0,0,0,0,0,0,0,0
207,OREGON ST,2014,2,@,HAWAII,38,30,8,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0
208,PENN STATE,2014,2,,AKRON ,21,3,18,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
209,PURDUE,2014,2,,C MICHIGAN,17,38,-21,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
210,RUTGERS,2014,2,,HOWARD,38,25,13,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
211,S DIEGO ST,2014,2,@,N CAROLINA ,27,31,-4,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
212,S JOSE ST,2014,2,@,AUBURN,13,59,-46,1,1,1,3,2,0,0,0,0,0,0,0,1,0,0
213,S ALABAMA,2014,1,@,KENT STATE,23,13,10,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
214,S CAROLINA,2014,2,,E CAROLINA,33,23,10,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0
215,0,2014,2,,MARYLAND,17,24,-7,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
216,USC,2014,2,@,STANFORD,13,10,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
217,SMU,2014,2,@,N TEXAS,6,43,-37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,SO MISS,2014,2,,ALBANY ST,26,20,6,2,2,2,5,4,0,0,0,0,0,0,0,0,0,0
219,STANFORD,2014,2,,USC,10,13,-3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0
220,TEMPLE,2014,2,,NAVY,24,31,-7,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0
221,TENNESSEE,2014,2,,ARK STATE,34,19,15,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0
222,TEXAS,2014,2,,BYU,7,41,-34,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
223,TEXAS A&M,2014,2,,LAMAR,73,3,70,10,10,10,1,1,0,0,0,0,0,0,0,0,0,0
224,UTEP,2014,2,,TEXAS TECH,26,30,-4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0
225,TEXAS TECH,2014,2,@,UTEP,30,26,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0
226,TOLEDO,2014,2,,MISSOURI,24,49,-25,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0
227,TROY,2014,2,,DUKE,17,34,-17,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
228,TULANE,2014,2,,GA TECH,21,38,-17,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
