Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Forrest Brock,173260,QB,TEMPLE,1,60.9,23,25,7.4,2.45,1,0,0.0,48.0,12,0,14,14.3,31,2,7,306,37.8,51.4,60.7,44.7,0,2,32,0,35.7,30.1,16.1,5,1,0,1,0,1,3.1,128,5.1
1,Tucker Gleason,122475,QB,TOLEDO,1,66.7,24,25,11.8,2.46,0,0,0.0,64.0,16,0,11,0.0,28,0,11,316,69.8,62.9,60.6,63.5,0,0,30,0,18.2,128.8,7.1,2,1,0,1,3,1,3.3,203,8.1
1,Hudson Card,123109,QB,PURDUE,1,96.0,25,25,8.4,2.72,0,2,7.4,96.0,24,0,3,0.0,28,0,17,273,68.2,92.1,91.4,69.3,0,0,30,0,33.3,151.8,3.6,1,2,0,0,4,0,0.0,273,10.9
1,Cam Fancher,145266,QB,FAU,1,56.5,23,25,8.4,3.34,0,0,0.0,48.0,12,0,20,7.7,43,1,11,165,71.6,57.1,55.1,59.9,2,2,45,0,35.0,41.4,16.3,7,11,0,0,1,2,4.4,116,4.6
1,Kurtis Rourke,97998,QB,INDIANA,1,65.2,23,25,10.7,2.85,0,0,0.0,60.0,15,0,9,0.0,29,0,11,190,29.1,60.1,64.7,48.9,1,0,34,1,22.2,95.4,6.9,2,2,0,1,1,1,2.9,180,7.2
1,Blake Baker,170448,QB,LA TECH,1,73.9,23,25,8.4,2.54,2,0,0.0,52.0,13,0,9,23.5,29,4,8,208,71.5,64.4,60.5,65.8,0,2,30,0,22.2,59.9,6.9,2,2,0,0,1,1,3.3,207,8.3
1,Aidan Chiles,173727,QB,MICH STATE,1,47.8,23,24,13.5,3.27,0,1,3.7,41.7,10,0,7,9.1,26,1,5,223,32.0,48.5,48.0,55.8,1,2,29,0,0.0,21.9,0.0,0,2,0,0,0,1,3.4,114,4.8
1,Tyler Shough,83537,QB,LOUISVILLE,1,86.4,22,24,10.1,2.47,0,2,8.3,75.0,18,0,6,5.3,25,1,13,210,67.7,87.2,86.4,,0,0,25,0,16.7,144.4,4.0,1,0,0,2,4,0,0.0,232,9.7
1,Joe Labas,144847,QB,C MICHIGAN,1,79.2,24,24,12.5,2.58,0,2,7.1,75.0,18,0,3,5.3,25,1,12,134,68.1,85.1,86.1,57.3,0,0,29,0,0.0,156.3,0.0,0,1,0,0,3,0,0.0,342,14.3
1,Athan Kaliakmanis,144971,QB,RUTGERS,1,81.0,21,24,6.5,2.51,0,0,0.0,62.5,15,0,4,11.8,25,2,10,278,70.5,73.6,64.8,74.5,0,0,25,0,0.0,119.3,0.0,0,1,0,3,3,0,0.0,147,6.1
1,Luke Altmyer,146802,QB,ILLINOIS,1,87.5,24,24,8.4,2.51,0,2,8.3,79.2,19,0,6,9.5,25,2,13,187,69.5,81.1,72.3,79.8,0,0,25,0,0.0,143.2,0.0,0,1,0,0,4,1,4.0,213,8.9
1,C.J. Ogbonna,149182,QB,BUFFALO,1,75.0,20,24,10.6,2.23,2,2,8.3,58.3,14,0,5,6.7,24,1,9,126,28.8,51.3,54.0,50.0,1,0,24,0,0.0,112.3,0.0,0,0,0,1,2,1,4.2,195,8.1
